Frame,Area,path
3840,13882.0,3840.jpg
3841,25024.5,3841.jpg
3842,38454.0,3842.jpg
3843,40285.5,3843.jpg
3844,56340.0,3844.jpg
3845,46217.0,3845.jpg
3846,52583.0,3846.jpg
3847,40948.0,3847.jpg
3848,40251.5,3848.jpg
3849,62287.0,3849.jpg
3850,60147.5,3850.jpg
3851,75073.0,3851.jpg
3852,80072.0,3852.jpg
3853,114749.5,3853.jpg
3854,88865.0,3854.jpg
3855,55927.5,3855.jpg
3856,37837.5,3856.jpg
3857,19380.0,3857.jpg
3858,7986.0,3858.jpg
3859,5484.5,3859.jpg
3860,4875.5,3860.jpg
3861,0.0,3861.jpg
3862,0.0,3862.jpg
3863,17462.0,3863.jpg
3864,31997.0,3864.jpg
3865,49928.0,3865.jpg
3866,53419.5,3866.jpg
3867,39914.0,3867.jpg
3868,33540.5,3868.jpg
3869,37438.0,3869.jpg
3870,15871.5,3870.jpg
3871,5006.5,3871.jpg
3872,7639.5,3872.jpg
3873,12236.0,3873.jpg
3874,15624.0,3874.jpg
3875,10489.0,3875.jpg
3876,6898.5,3876.jpg
3877,0.0,3877.jpg
3878,2459.0,3878.jpg
3879,3260.5,3879.jpg
3880,8942.5,3880.jpg
3881,39427.5,3881.jpg
3882,59824.0,3882.jpg
3883,59137.5,3883.jpg
3884,82404.0,3884.jpg
3885,54121.5,3885.jpg
3886,18282.5,3886.jpg
3887,0.0,3887.jpg
3888,3812.0,3888.jpg
3889,5872.0,3889.jpg
3890,4378.0,3890.jpg
3891,3343.0,3891.jpg
3892,22410.5,3892.jpg
3893,45241.5,3893.jpg
3894,35084.0,3894.jpg
3895,28839.0,3895.jpg
3896,5315.5,3896.jpg
3897,10513.5,3897.jpg
3898,45673.0,3898.jpg
3899,78204.5,3899.jpg
3900,74215.5,3900.jpg
3901,64027.5,3901.jpg
3902,35315.0,3902.jpg
3903,7740.5,3903.jpg
3904,10789.0,3904.jpg
3905,30154.0,3905.jpg
3906,50062.0,3906.jpg
3907,60856.5,3907.jpg
3908,13897.5,3908.jpg
3909,21098.5,3909.jpg
3910,0.0,3910.jpg
3911,0.0,3911.jpg
3912,0.0,3912.jpg
3913,0.0,3913.jpg
3914,9161.0,3914.jpg
3915,8846.0,3915.jpg
3916,9599.5,3916.jpg
3917,8868.5,3917.jpg
3918,6814.5,3918.jpg
3919,0.0,3919.jpg
3920,0.0,3920.jpg
3921,0.0,3921.jpg
3922,0.0,3922.jpg
3923,0.0,3923.jpg
3924,0.0,3924.jpg
3925,0.0,3925.jpg
3926,0.0,3926.jpg
3927,0.0,3927.jpg
3928,0.0,3928.jpg
3929,0.0,3929.jpg
3930,0.0,3930.jpg
3931,0.0,3931.jpg
3932,0.0,3932.jpg
3933,0.0,3933.jpg
3934,0.0,3934.jpg
3935,0.0,3935.jpg
3936,0.0,3936.jpg
3937,0.0,3937.jpg
3938,0.0,3938.jpg
3939,0.0,3939.jpg
3940,0.0,3940.jpg
3941,0.0,3941.jpg
3942,0.0,3942.jpg
3943,0.0,3943.jpg
3944,0.0,3944.jpg
3945,0.0,3945.jpg
3946,0.0,3946.jpg
3947,0.0,3947.jpg
3948,6060.5,3948.jpg
3949,45263.5,3949.jpg
3950,42078.5,3950.jpg
3951,40792.5,3951.jpg
3952,10647.0,3952.jpg
3953,5585.0,3953.jpg
3954,17045.0,3954.jpg
3955,40579.5,3955.jpg
3956,61430.5,3956.jpg
3957,54765.5,3957.jpg
3958,24847.0,3958.jpg
3959,22639.5,3959.jpg
3960,6882.5,3960.jpg
3961,6272.5,3961.jpg
3962,12407.5,3962.jpg
3963,45342.0,3963.jpg
3964,77292.5,3964.jpg
3965,64132.5,3965.jpg
3966,68946.0,3966.jpg
3967,51164.5,3967.jpg
3968,53032.5,3968.jpg
3969,31862.0,3969.jpg
3970,29105.0,3970.jpg
3971,25677.0,3971.jpg
3972,44576.0,3972.jpg
3973,46972.5,3973.jpg
3974,41161.5,3974.jpg
3975,11164.0,3975.jpg
3976,34445.5,3976.jpg
3977,32311.5,3977.jpg
3978,36989.0,3978.jpg
3979,69900.5,3979.jpg
3980,36931.5,3980.jpg
3981,36549.0,3981.jpg
3982,19978.5,3982.jpg
3983,29882.5,3983.jpg
3984,44148.0,3984.jpg
3985,35028.0,3985.jpg
3986,25764.5,3986.jpg
3987,17643.0,3987.jpg
3988,24780.0,3988.jpg
3989,52711.0,3989.jpg
3990,67354.0,3990.jpg
3991,46620.0,3991.jpg
3992,21599.5,3992.jpg
3993,13978.5,3993.jpg
3994,9261.0,3994.jpg
3995,0.0,3995.jpg
3996,0.0,3996.jpg
3997,0.0,3997.jpg
3998,0.0,3998.jpg
3999,5562.0,3999.jpg
4000,5898.5,4000.jpg
4001,0.0,4001.jpg
4002,0.0,4002.jpg
4003,813.5,4003.jpg
4004,0.0,4004.jpg
4005,0.0,4005.jpg
4006,0.0,4006.jpg
4007,0.0,4007.jpg
4008,0.0,4008.jpg
4009,0.0,4009.jpg
4010,0.0,4010.jpg
4011,0.0,4011.jpg
4012,0.0,4012.jpg
4013,0.0,4013.jpg
4014,0.0,4014.jpg
4015,0.0,4015.jpg
4016,0.0,4016.jpg
4017,0.0,4017.jpg
4018,0.0,4018.jpg
4019,0.0,4019.jpg
4020,0.0,4020.jpg
4021,0.0,4021.jpg
4022,0.0,4022.jpg
4023,0.0,4023.jpg
4024,0.0,4024.jpg
4025,0.0,4025.jpg
4026,0.0,4026.jpg
4027,0.0,4027.jpg
4028,0.0,4028.jpg
4029,0.0,4029.jpg
4030,0.0,4030.jpg
4031,0.0,4031.jpg
4032,0.0,4032.jpg
4033,0.0,4033.jpg
4034,0.0,4034.jpg
4035,0.0,4035.jpg
4036,0.0,4036.jpg
4037,0.0,4037.jpg
4038,0.0,4038.jpg
4039,0.0,4039.jpg
4040,0.0,4040.jpg
4041,0.0,4041.jpg
4042,0.0,4042.jpg
4043,0.0,4043.jpg
4044,0.0,4044.jpg
4045,0.0,4045.jpg
4046,0.0,4046.jpg
4047,0.0,4047.jpg
4048,0.0,4048.jpg
4049,0.0,4049.jpg
4050,0.0,4050.jpg
4051,0.0,4051.jpg
4052,0.0,4052.jpg
4053,0.0,4053.jpg
4054,0.0,4054.jpg
4055,0.0,4055.jpg
4056,0.0,4056.jpg
4057,0.0,4057.jpg
4058,0.0,4058.jpg
4059,0.0,4059.jpg
