diffrence,color,mask,illumination,threshold,min_error
3907_000_df.jpg,3907_000_cl.jpg,3907_000_pr.jpg,2455246,16,0
3907_001_df.jpg,3907_001_cl.jpg,3907_001_pr.jpg,2415774,27,0
3907_002_df.jpg,3907_002_cl.jpg,3907_002_pr.jpg,2321531,54,0
3907_003_df.jpg,3907_003_cl.jpg,3907_003_pr.jpg,2262883,32,0
3907_004_df.jpg,3907_004_cl.jpg,3907_004_pr.jpg,2044968,58,0
3907_005_df.jpg,3907_005_cl.jpg,3907_005_pr.jpg,2104582,68,0
3907_006_df.jpg,3907_006_cl.jpg,3907_006_pr.jpg,2103845,44,0
3907_007_df.jpg,3907_007_cl.jpg,3907_007_pr.jpg,2167235,90,0
3907_008_df.jpg,3907_008_cl.jpg,3907_008_pr.jpg,2197948,57,0
3907_009_df.jpg,3907_009_cl.jpg,3907_009_pr.jpg,2154645,60,0
3907_010_df.jpg,3907_010_cl.jpg,3907_010_pr.jpg,2089250,60,0
3907_011_df.jpg,3907_011_cl.jpg,3907_011_pr.jpg,2067725,40,0
3907_012_df.jpg,3907_012_cl.jpg,3907_012_pr.jpg,2027210,52,0
3907_013_df.jpg,3907_013_cl.jpg,3907_013_pr.jpg,2235108,39,0
3907_014_df.jpg,3907_014_cl.jpg,3907_014_pr.jpg,2192118,43,0
3907_015_df.jpg,3907_015_cl.jpg,3907_015_pr.jpg,2299369,57,0
3907_016_df.jpg,3907_016_cl.jpg,3907_016_pr.jpg,2385581,81,0
3907_017_df.jpg,3907_017_cl.jpg,3907_017_pr.jpg,2535116,130,0
3907_018_df.jpg,3907_018_cl.jpg,3907_018_pr.jpg,2480826,96,0
3907_019_df.jpg,3907_019_cl.jpg,3907_019_pr.jpg,2280871,109,0
3907_020_df.jpg,3907_020_cl.jpg,3907_020_pr.jpg,2093128,133,0
3907_021_df.jpg,3907_021_cl.jpg,3907_021_pr.jpg,2192139,98,132978
3907_022_df.jpg,3907_022_cl.jpg,3907_022_pr.jpg,2267435,72,293031
3907_023_df.jpg,3907_023_cl.jpg,3907_023_pr.jpg,2324186,106,468927
3907_024_df.jpg,3907_024_cl.jpg,3907_024_pr.jpg,2313216,91,608832
3907_025_df.jpg,3907_025_cl.jpg,3907_025_pr.jpg,2374694,110,351438
3907_026_df.jpg,3907_026_cl.jpg,3907_026_pr.jpg,2202029,110,732537
3907_027_df.jpg,3907_027_cl.jpg,3907_027_pr.jpg,2136138,80,278391
3907_028_df.jpg,3907_028_cl.jpg,3907_028_pr.jpg,1987865,87,1771740
3907_029_df.jpg,3907_029_cl.jpg,3907_029_pr.jpg,2014929,75,380925
3907_030_df.jpg,3907_030_cl.jpg,3907_030_pr.jpg,2084215,60,702243
3907_031_df.jpg,3907_031_cl.jpg,3907_031_pr.jpg,2245342,49,1406820
3907_032_df.jpg,3907_032_cl.jpg,3907_032_pr.jpg,2049631,83,338586
3907_033_df.jpg,3907_033_cl.jpg,3907_033_pr.jpg,2357802,35,2058750
3907_034_df.jpg,3907_034_cl.jpg,3907_034_pr.jpg,2381194,47,1669581
3907_035_df.jpg,3907_035_cl.jpg,3907_035_pr.jpg,2149226,47,2300412
3907_036_df.jpg,3907_036_cl.jpg,3907_036_pr.jpg,1964447,26,2355744
3907_037_df.jpg,3907_037_cl.jpg,3907_037_pr.jpg,1956957,50,1726413
3907_038_df.jpg,3907_038_cl.jpg,3907_038_pr.jpg,2081213,39,1563954
3907_039_df.jpg,3907_039_cl.jpg,3907_039_pr.jpg,2151248,8,1143876
3907_040_df.jpg,3907_040_cl.jpg,3907_040_pr.jpg,2164064,26,895416
3907_041_df.jpg,3907_041_cl.jpg,3907_041_pr.jpg,2240853,16,1470762
3907_042_df.jpg,3907_042_cl.jpg,3907_042_pr.jpg,2176408,52,2446278
3907_043_df.jpg,3907_043_cl.jpg,3907_043_pr.jpg,1957815,72,2890674
3907_044_df.jpg,3907_044_cl.jpg,3907_044_pr.jpg,1864017,97,2319285
3907_045_df.jpg,3907_045_cl.jpg,3907_045_pr.jpg,1816472,73,1899768
3907_046_df.jpg,3907_046_cl.jpg,3907_046_pr.jpg,1886249,68,2154843
3907_047_df.jpg,3907_047_cl.jpg,3907_047_pr.jpg,1918604,67,1471374
3907_048_df.jpg,3907_048_cl.jpg,3907_048_pr.jpg,1899197,5,0
3907_049_df.jpg,3907_049_cl.jpg,3907_049_pr.jpg,1975825,70,708534
3907_050_df.jpg,3907_050_cl.jpg,3907_050_pr.jpg,1642139,78,905976
3907_051_df.jpg,3907_051_cl.jpg,3907_051_pr.jpg,1556128,102,827745
3907_052_df.jpg,3907_052_cl.jpg,3907_052_pr.jpg,1506194,149,888834
3907_053_df.jpg,3907_053_cl.jpg,3907_053_pr.jpg,1534861,96,309882
3907_054_df.jpg,3907_054_cl.jpg,3907_054_pr.jpg,1429635,118,0
3907_055_df.jpg,3907_055_cl.jpg,3907_055_pr.jpg,1389292,99,202302
